End of Period,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks,Investments_Govt.of Sri Lanka_Treasury Bills,Investments_Govt.of Sri Lanka_Treasury Bonds (b),Investments_Govt.of Sri Lanka_Other Govt. of Sri Lanka Securities,Investments_Other Investments (c),Loans and Advances_Bills Purchased and Discounted_Local,Loans and Advances_Bills Purchased and Discounted_Imports,Loans and Advances_Bills Purchased and Discounted_Exports,Loans and Advances_Overdrafts,Loans and Advances_Loans,Loans and Advances_Total Loans and Advance (b),Fixed and Other Assets,Total Assets or Liabilities,Percentage of Liquid Assets to Demand Deposits,Percentage of Loans & Advances to Total Deposits
2000-04-01,11857.285153,32440.666253,14910.502686,10186.164207,77529.038952,9855.609441,6458.605994,88.218642,14875.2079,8.850175,24226.138542,6667.615662,93460.296586,188961.91354426998,313324.81450926996,101901.416901,593427.53063827,271.3773916853049,78.6750391179259
2000-05-01,11638.20487124,36422.168301410005,12562.433268,7116.811368,75255.73268492999,6050.472750229999,10859.756388,88.218642,14555.257921,4.947386,15040.74616968,7034.75351798,101870.37851251,188168.52303870002,312119.34862487,102828.10536191,589496.51018159,269.78628455602376,78.67553721870955
2000-06-01,9990.90612351,34719.785368059995,14223.78704,7841.356172,75286.28452854001,6765.4174469,15122.285992,88.218642,14428.647387,5.483166,16157.92180548,7395.03553482,100348.01843416001,193391.73209429998,317298.19103476,108806.01998592001,604570.8997206901,259.9975844944717,78.52744639338854
2000-07-01,10388.536317040001,33647.80505075,11504.881086,7628.15141,64561.49525773001,6280.65067045,15693.091444,88.218642,15249.277727,4.63228175,16038.76683197,8186.614589399999,102174.38282442,195464.21396482,321868.61049235996,104588.28296092,591499.00105825,248.51959088313512,79.18356146403592
2000-08-01,9825.707445209999,26984.57043194,23564.171602,8086.831856,72495.59294637,5340.59966951,19350.13696,88.218642,15436.959518,6.564796,15436.59544227,8790.140365869998,101900.61963275999,196646.16768008,322780.08791698,106306.07806442001,610258.95505243,250.9722653896944,78.71751920272612
2000-09-01,9639.66554192,33319.68399995,14636.279252,10307.860693,74956.199803,5893.314632899999,13225.12638,88.218642,15379.743325,15.3982285,15679.38052021,8980.771273960001,105970.46596533,196514.18845279998,327160.2044408,105556.05686017999,610162.35357075,253.72148442440744,78.71898818662538
2000-10-01,11340.778473,21127.530141,25041.247881,10038.453026,85962.045965,4592.430207,13655.185274,88.218642,15671.486383,7.099439,16671.470772,8675.149795,109196.183348,197875.69262227,332425.59597627004,117567.90997,637510.8819382701,247.38525938279204,78.56232985998209
2000-11-01,10398.05457543,30797.976506979998,25709.878045,8175.326216,85716.06795939,5492.06084905,7326.518133,88.218642,15665.57905443,5.233295,18463.63227002,8902.79769836,115052.46297395,202850.6059883,345274.73222562997,104668.65249223998,639313.0646991499,270.54980289127116,81.28676387004865
2000-12-01,10669.179391709999,28873.133692569998,33102.424841,12460.717862,89032.44659551002,7402.33342132,7243.347386,88.218642,15643.25449143,15.96153123,21216.23305495,8788.16858753,119676.67587833,206966.27716094,356663.31621297996,116502.73449111,677681.10702763,246.50058475910643,80.05831590124225
2001-01-01,12134.3950151,29738.279366849998,28736.707661,10171.754299,94819.35973038,3498.20871557,7186.635027,88.218642,15501.31536443,42.694729280000004,26786.756427880002,9160.03541049,122229.36518644,203948.59552189,362167.44727598,111491.81727464001,675534.1383719499,287.78495717145,81.03287238659038
2001-02-01,11969.160680930001,26689.42011175,11140.574881319999,31423.001543,90225.51772251,5949.26165054,8974.456597,88.218642,15659.16040129,63.67472063,25454.19565419,8689.672614120002,124645.35716531,205608.983689,364461.88384325,130795.33750908,697375.9935826699,213.85877979505776,77.93413914986021
2001-03-01,12016.35156599,31307.594072400003,9600.620226,24373.149416,87260.35812013001,4557.84188021,5113.806734,88.298642,16285.07112449,81.16451225,27690.035254,8650.90688491,130028.29012642,208506.22672872,374956.62350630003,124479.46212132,690039.17740884,232.61397671761242,81.54712341758064
2001-04-01,12180.97273394,28951.238401529998,14319.631960530001,22219.370098,89494.50389349001,6905.19284251,7228.2077,88.298642,16480.99252362,57.2941066,27600.366094470002,7816.00979758,128808.89555172999,214057.89120613,378340.45675650996,124152.02890221,700360.8944543401,232.65754230196308,80.69275580834756
2001-05-01,11066.011791719999,21780.830712310002,13169.927833,21763.433378,98955.38390493001,5055.6149965,7946.772683,88.298642,16632.7942366,59.26525375,27818.5379337,8443.76920902,133033.55436552002,207051.23371546,376406.36047745,119773.22115670999,692638.6498122199,242.99757630190462,79.90226125574766
2001-06-01,9897.57255841,30909.45600928,13379.03351807,20078.468072,94999.6972008,5375.53413484,11205.722788,88.298642,17260.05096148,45.967155,24401.228596700003,7737.31246563,131034.89257324001,210462.46727656,373681.86806713,109801.51701557,686677.21896758,257.7536694244211,79.85073316187905
2001-07-01,10921.999808530001,32230.92499084,11458.955331,23477.955028,102554.67438599,5589.3521011,7443.986823,88.298642,17734.513073,46.42224885,14756.70113259,7873.1684774,132472.53490027,214309.60855804998,369458.43531716,111211.56834534001,692170.6638459599,244.3818153979764,77.78540338700725
2001-08-01,9862.224978,28797.348484,13088.7593,21051.915445,99061.159265,10047.128281,9623.157499,88.298642,16869.802786,42.295065,15965.243731,7533.057748,135452.135964,213185.50093327,372178.23344126996,112255.227115,692923.25523627,245.03576460578273,77.94826346060565
2001-09-01,9443.13814735,35392.22066841,14901.831173,26319.890006,98923.41162542999,12243.64329124,8151.551325,88.298642,17573.341649,46.827871,17084.7663617,7668.89075637,129708.38201311999,215527.82898676998,370036.69598896,116714.32203532,709788.34455171,250.9598097892416,76.44063762679549
2001-10-01,10963.34700345,33986.11093211,13650.689896,23881.680877,100463.89106416001,8366.968252,13780.346152,88.298642,20192.592711,53.411012,19163.280732,7796.01695168,132954.7125565,215580.52672866,375547.94798084,115292.89931248999,716214.77282305,253.10072136926084,76.28361440581104
2001-11-01,10047.14428054,31735.60825286,18309.781632,25355.80599,102305.39386679,10010.12959764,16833.584087,2463.923642,20279.414069,51.681789,15573.736894239999,7663.88025227,134399.66070196,218968.98512325,376657.94476072,116613.81957036999,730612.54974892,240.73695782273685,74.97945401877783
2001-12-01,11025.194760350001,38735.00507396,14583.533387,24709.599563,99957.95221881,9694.073999709999,19119.70536,4373.328064,19938.680369,49.50061711,17512.64871963,7935.95928032,139723.71868452,220014.20420862,385236.0315102,113782.39601477,741155.5003208001,241.89610504121862,74.25602190968482
2002-01-01,11106.261945040002,35703.33376899,17505.864962,26814.513748,98092.94833682,14267.96371566,13149.710867,4386.794642,20525.49255,57.555121,21389.502991,7851.26239807,138955.71839676,218241.29011738,386495.32902421,118832.10561082001,746880.31917054,241.8353878708865,74.18921547197749
2002-02-01,10855.72937523,28740.2196904,10775.6970502,23252.13091,100371.03682185001,28900.765133,20817.90518,4396.419642,20532.384424,55.264925,18598.994938,7802.300927190001,128861.370386,220893.82046043,376211.75163662,115280.5625105,740134.6023738,273.0759446492018,71.98551682365161
2002-03-01,11843.62381404,32886.91567885,14650.597612,26766.265074,104855.86961626001,17849.19986493,19619.73004,4432.244642,21348.828957,73.80436698,20922.266849,8436.23540685,135242.53951214,222746.80429794,387421.65043291,115271.13106805,756946.0568000401,260.33267087213505,72.4012236353325
2002-04-01,15435.610351110001,32402.5882174,15309.03285995,25390.350447,105599.58744927001,22340.16418385,24542.495711,4506.086242,21465.61288478,63.28744455,21684.68535066,7442.60493382,129887.98940112,224223.75637207,383302.32350222,119035.17686053,769329.0287091101,279.6285845464447,70.69131861142074
2002-05-01,12805.270328,36394.836905,12751.302469,22718.068353,105890.471873,26355.755379,26017.591312,4510.652642,22101.642401,59.139804,22887.433708,7092.515452,126337.344742,228441.466904,384817.90061,115671.097583,770034.5898549999,287.23197711736674,70.80675718568523
2002-06-01,11985.212237,35830.724843,14065.263714,10557.372014,103171.022834,34840.866499,26090.010368,9409.056616,22316.686021,66.666208,23475.267843,7385.281108,115934.998205,230680.318177,377542.531541,114338.105293,760146.85198,355.7630750492891,70.56905625850096
2002-07-01,13919.632349,39658.558836,15850.581354,10094.353613,104201.275282,35710.918849,25395.722324,8166.952856,22263.447336,48.373195,22537.17687,7405.812275,114486.459138,234990.96217,379468.783648,112324.185159,767054.4116059999,350.699502498967,69.92588694673131
2002-08-01,11640.146033,40148.071581,15862.065186,9439.315753,104728.385481,28005.886641,33854.570516,8168.316785,21324.078132,31.545721,21682.754714,7756.015305,111465.501783,237667.167717,378602.98524,116760.568376,768534.3897240001,353.28506242653935,69.45179998007427
