End of Period,Paid-up Capital,Demand Deposits_Inter-Bank_Domestic,Demand Deposits_Inter-Bank_Foreign,Demand Deposits_Govt. of Sri Lanka,Demand Deposits_Resident Constituents,Demand Deposits_Non Resident Constituents,Time and Savings Deposits_Govt. of Sri Lanka,Time and Savings Deposits_Resident Constituents,Time and Savings Deposits_Non Resident Constituents,Total All Deposits_Demand,Total All Deposits_Time and Savings,Borrowings_Domestic InterBank (h),Borrowings_Foreign,Other Liabilities
2005-03-01,83364.511809,79.610103,1037.362866,14864.438504,99815.517018,3833.245012,2818.310528,512999.953645,177826.839639,119630.173503,693645.103812,27675.792196,7477.725081,133923.756262
2005-04-01,82768.688194,52.186231,1539.713947,14055.309344,99985.777288,3267.251454,2618.602527,520848.886607,184818.284273,118900.238264,708285.773407,29799.52039,8137.475671,129227.142702
2005-05-01,83248.797364,89.568839,1498.397132,15153.693468,100502.79341,3119.241215,2723.354885,524235.80275,180912.716727,120363.694064,707871.8743619999,40492.258788,5257.621556,148694.405386
2005-06-01,87523.081877,212.144055,978.492383,14676.780999,103417.693888,3211.850305,3376.835263,530066.734609,184213.669545,122496.96162999999,717657.239417,38370.236466,7246.660932,140723.310189
2005-07-01,91373.148759,268.110873,951.796838,21601.723635,107452.281301,3492.130472,3560.716462,534527.462097,185965.718945,133766.04311899998,724053.897504,36369.014205,6223.85019,157778.427432
2005-08-01,99044.30395,214.432825,1269.010527,19820.003477,104094.947564,4118.754904,3568.256424,545227.302196,193464.806896,129517.149297,742260.365516,57662.875563,8087.222126,146789.029351
2005-09-01,101665.265385,161.805813,1236.586474,19826.464633,106146.891032,3371.597196,3521.137318,560195.118477,190184.934185,130743.34514800001,753901.18998,46612.237569,8766.271953,152621.118599
2005-10-01,104757.273334,224.1173,1021.274706,19601.902082,114442.9649,3740.410834,3455.772702,574850.165807,196919.110146,139030.66982200003,775225.048655,64709.894611,9240.577676,152278.898925
2005-11-01,107266.549867,283.94208,876.831039,20270.931756,116380.573184,3762.376073,3415.591161,586815.061162,200095.221289,141574.654132,790325.873612,63089.040873,10128.70526,152482.262901
2005-12-01,110928.207936,272.106285,1000.026335,23746.294156,116619.543838,3443.549709,3287.945576,592229.930396,204975.481178,145081.520323,800493.35715,60224.064958,11511.077565,147277.32772
2006-01-01,115157.109644,222.311414,1037.919235,20706.19251,118293.579242,3761.201175,3224.776736,604229.945638,211793.236762,144021.203576,819247.959136,60030.345295,14935.776444,146812.688725
2006-02-01,119185.743324,214.845692,1100.144378,20462.012744,115641.945497,4192.609814,3197.615851,617691.554778,212757.751716,141611.55812499998,833646.922345,60411.158585,10175.805982,150022.75495
2006-03-01,119820.887872,270.63311,1239.437005,22649.799456,113081.677989,3915.716136,3123.368205,628557.368228,215187.571009,141157.263696,846868.3074419999,67790.028781,10510.435587,163978.797054
2006-04-01,120117.758935,276.889895,1478.087009,24135.43897,119066.314218,3514.555978,3079.824164,640355.082706,216859.262562,148471.28606999997,860294.1694319999,70732.569792,9515.277479,159707.234827
2006-05-01,121266.156559,353.759049,1426.549016,23572.482452,116635.769726,3920.599019,3190.508329,642141.588219,218656.365207,145909.15926199997,863988.461755,67725.867963,10391.295341,172284.764353
2006-06-01,123048.8337,231.558812,1701.832399,22616.755158,120014.409997,4092.079784,2523.966068,649635.147096,213040.670488,148656.63615,865199.783652,73212.469913,15516.193465,152678.655248
2006-07-01,127944.937255,224.988881,1601.079464,25340.210804,117426.806561,3814.271542,2703.829484,658357.510994,210771.130868,148407.35725200002,871832.471346,66752.520662,13318.986194,152412.232843
2006-08-01,127190.619509,207.178338,1877.68949,24481.493884,117077.482893,4178.891813,2748.323703,667930.163843,203454.046558,147822.736418,874132.534104,73445.99382,16076.732115,154299.595363
2006-09-01,128271.550942,199.278446,2043.895782,24053.260573,114693.382266,3267.998372,2914.404649,679479.538304,210885.640491,144257.815439,893279.5834440001,85933.193276,20007.589707,155940.045993
2006-10-01,129568.875447,180.679845,2269.439895,26319.640248,120519.496043,4700.030743,2799.638346,706544.543089,217256.901808,153989.286774,926601.0832430001,86158.680969,16361.733252,156208.114118
2006-11-01,132377.245866,263.860162,1997.140233,26690.888595,117190.468052,4699.810668,2827.641669,725079.504136,222095.340285,150842.16770999998,950002.48609,89090.777574,23812.970703,159262.968337
2006-12-01,136834.459291,190.658897,2403.474869,30697.22015,124656.721934,3188.46862,2728.354079,733579.783602,223957.505537,161136.54447,960265.643218,104694.091457,22734.858611,174353.936048
2007-01-01,143181.982831,187.259564,2076.989607,23591.174647,123771.621863,3085.447587,2643.568916,741227.764453,227860.669482,152712.493268,971732.002851,95266.636571,24524.128627,181381.035715
2007-02-01,144350.221174,390.111109,2246.007831,24179.437316,125965.621247,2948.242236,2666.305003,753974.609447,236741.857374,155729.419739,993382.7718239999,95738.926948,29083.337485,181387.583447
2007-03-01,146263.509329,251.198712,3414.058475,22959.52851,124836.565836,2624.751214,2572.316216,765773.698143,247088.891527,154086.102747,1015434.905886,94842.336583,23437.072352,189491.472824
2007-04-01,146138.34271,351.737811,2579.29036,23865.263219,127463.159061,2963.940529,2606.184084,781865.505046,243039.459755,157223.39098000003,1027511.1488849999,92800.456296,23003.824555,191586.528133
2007-05-01,152742.469301,446.500841,1920.195955,27807.84672,130915.780384,2549.272587,2941.765613,783593.93532,252657.638105,163639.596487,1039193.3390380001,97934.258104,24953.832982,193417.064577
2007-06-01,157358.627105,271.898546,6160.034845,26319.842684,123009.698363,2834.977329,2863.164461,803611.611342,251387.931368,158596.451767,1057862.707171,88366.629252,21312.768726,197639.121636
2007-07-01,159287.383966,412.937481,2809.032881,27983.253794,119014.967515,3429.436039,2724.460079,812812.673616,262859.617714,153649.62771,1078396.751409,89730.330765,23094.859174,197770.914783
2007-08-01,160770.489953,234.904897,3230.966453,27827.458573,122102.610902,4076.886863,2563.562399,824109.399756,269745.473504,157472.827688,1096418.4356590002,86480.063652,17376.845935,193822.235528
2007-09-01,160601.65653,383.967933,2795.248287,33286.114005,116518.093115,4125.868369,3777.745961,837683.867242,276240.778919,157109.291709,1117702.392122,97032.439868,21909.241978,200990.0989
2007-10-01,161455.392021,276.696354,2976.432442,34101.727164,115425.623582,4422.841399,3835.983346,852355.870711,267338.336672,157203.32094099998,1123530.1907290001,88613.986413,14648.674797,206612.812959
2007-11-01,162963.737089,148.352222,2967.70051,35514.066585,117621.792856,4159.388365,4363.677799,875153.983981,264829.108608,160411.30053799998,1144346.7703880002,95160.313293,19467.501837,205446.265981
2007-12-01,168505.687192,230.891887,2777.985951,34398.877577,119406.603601,2945.606786,4346.76787,881150.372127,262104.459095,159759.965802,1147601.599092,87368.565513,14382.545496,213081.20168
2008-01-01,171552.462765,193.661279,2263.984202,31938.903276,116633.659534,3596.259836,4270.159838,886090.726553,254100.213458,154626.46812700003,1144461.099849,93130.554213,22004.154368,214544.240236
2008-02-01,174333.310662,310.709686,2419.743669,26050.119637,120068.5779,3438.865759,4087.84077,889162.658283,255845.376144,152288.016651,1149095.875197,86030.869631,15856.055673,206663.177815
2008-03-01,177895.802671,359.662222,2259.223257,21173.641074,134095.702203,3682.324784,4114.262654,902764.274471,252214.186733,161570.55354,1159092.723858,92118.540405,20137.183239,220769.941639
2008-04-01,176580.347777,598.539057,3873.114016,24986.709505,124932.135984,3723.535696,3337.799063,919417.941431,267949.647123,158114.034258,1190705.387617,100863.87227,18871.761572,219771.58918
2008-05-01,174482.18837,513.844262,1884.363042,28842.065937,121526.097863,3837.708612,3415.245299,919160.227036,266047.15715,156604.07971599998,1188622.629485,104220.979429,21895.97689,221777.343988
2008-06-01,177157.959142,245.453478,2415.179038,22610.650654,130075.208098,3541.919538,3280.930382,928309.437408,272132.295656,158888.410806,1203722.663446,95031.735535,22536.393059,233944.488265
2008-07-01,176391.366677,190.705059,1897.941596,23753.768801,124093.702781,6730.336679,3376.961067,951334.091053,269550.018924,156666.454916,1224261.0710439999,97817.864681,22587.525062,230460.617469
2008-08-01,178361.344806,299.536788,1812.075663,22641.610442,120725.923654,7001.526784,3177.034609,958120.671183,252233.339701,152480.673331,1213531.045493,105939.744182,27925.881506,237940.900202
2008-09-01,180070.943328,236.427691,1947.69969,19692.660051,124175.105988,5606.352959,3403.415151,973449.637685,258584.01387,151658.246379,1235437.066706,101493.749769,24103.355597,237415.59037
2008-10-01,182106.442345,314.50519,2118.821563,21995.414377,119280.490574,3847.918592,3644.017026,982588.398154,248073.96812,147557.150296,1234306.3833,109398.893444,20497.88181,242431.168849
2008-11-01,182181.127662,259.527212,2741.158128,20553.604504,116153.827938,6648.611258,4121.614867,991072.434254,243993.774906,146356.72903999998,1239187.824027,119570.160656,19337.115472,244239.141259
2008-12-01,183183.459794,362.133955,2706.001508,23296.782871,122284.615834,5037.056258,4087.030245,1004871.038715,247922.603252,153686.59042599998,1256880.672212,107053.669871,17888.565705,229246.939994
2009-01-01,183851.4,275.1,2997.8,19835.0,117920.90000000001,2921.7000000000003,4034.7,1022547.8,246155.50000000003,143950.50000000003,1272738.0,115295.5,25496.4,243281.7
2009-02-01,184455.5,361.2,2738.3,19884.0,114481.8,2981.1,3937.0,1038966.4000000001,245633.8,140446.4,1288537.2000000002,111742.7,20376.6,241057.8
2009-03-01,183518.1,626.5,1768.1,20784.3,117561.59999999999,2720.9,4046.4,1051823.0,249901.19999999998,143461.4,1305770.5999999999,105293.6,23226.4,239902.19999999998
2009-04-01,180541.6,1956.9,2319.2,20262.0,118108.79999999999,3159.1,4921.1,1072911.2000000002,264735.39999999997,145806.0,1342567.7000000002,101124.6,17776.7,246354.30000000002
2009-05-01,181027.521215,3189.930814,1742.129078,20589.912214,116258.548005,3289.0164480000003,5045.563495,1088529.849577,266515.77449000004,145069.536559,1360091.1875619998,104404.266728,18362.475649,245433.25474499998
2009-06-01,180334.97198177,3979.51794,1817.316525,19293.872763,117128.63054551999,3195.60331127,7618.338818,1112035.3338446496,272520.63587999,145414.94108478999,1392174.3085426395,91520.24820299,23023.05501265,257393.11363824
2009-07-01,181365.75523297,5186.134845,2233.726818,19781.030025,121791.80941664,3175.55934481,8179.097798999999,1134607.6542869401,275297.19834248995,152168.26044945,1418083.9504284302,91744.68125587,16778.70274714,252342.07896225998
